,Importance
blood_glucose_level,0.254028753178779
age,0.19418285681634784
bmi,0.08799417058535865
Calorieskcal,0.06541225141915998
Water_Intakeml,0.06406059526785009
Sodiummg,0.06305366443925099
Cholesterolmg,0.06054663380095321
High_Sugar_Risk,0.041733376883662944
Obesity_Risk,0.0214635102949859
gender_Male,0.011497023405254471
smoking_history_never,0.010509216691412575
smoking_history_former,0.009859531709286308
Meal_Type_Lunch,0.009508487517811765
Meal_Type_Dinner,0.009460896142684578
Meal_Type_Snack,0.008778868277255302
High_Cholesterol_Risk,0.0077608076748827085
Cancer_Risk_Score,0.007667791617702483
Category_Dairy,0.007654220185990554
Category_Vegetables,0.007361215208336522
Category_Grains,0.007262944558684667
active,0.007223301540459314
Category_Snacks,0.00720696350216772
Low_Activity_Score,0.0067999160464445015
Category_Fruits,0.006712742615080548
Category_Meat,0.006331888751265672
smoking_history_current,0.006259276768053152
smoking_history_notcurrent,0.005105447960167581
smoking_history_ever,0.00456364714071093
