,Importance
Water_Intakeml,0.1429219039666659
Sodiummg,0.14289223155638253
Calorieskcal,0.14144509314738044
age,0.12238977046235755
bmi,0.10625150766171144
blood_glucose_level,0.08262276188695913
gender_Male,0.017975134363715662
smoking_history_never,0.01771454365914478
Meal_Type_Snack,0.017026617377674795
Meal_Type_Lunch,0.01698268613918312
Meal_Type_Dinner,0.016267190422459672
Category_Dairy,0.014299310783356887
Category_Meat,0.013761594011487972
Category_Grains,0.01371701860416475
Category_Fruits,0.013460134266615846
High_Sugar_Risk,0.013097267203595291
Category_Vegetables,0.013030677517550947
Category_Snacks,0.012966055497791252
Obesity_Risk,0.010912675120651607
smoking_history_current,0.010855668658455815
active,0.010148308086380765
Low_Activity_Score,0.010019149256616256
smoking_history_former,0.009527501500419809
smoking_history_notcurrent,0.009242743449422141
diabetes,0.008494638648869325
smoking_history_ever,0.006525657089682709
Cancer_Risk_Score,0.005452159661303586
