,Importance
Calorieskcal,0.13711190636597725
Sodiummg,0.13628763220401802
Water_Intakeml,0.13597680405236592
Cholesterolmg,0.1307989445426672
age,0.11572825969872334
bmi,0.10337181948473878
gender_Male,0.020712949607735582
smoking_history_never,0.017348438766850216
Meal_Type_Dinner,0.016397138561047617
Meal_Type_Snack,0.016369563613631923
Meal_Type_Lunch,0.016168733967198808
Category_Dairy,0.013678236573335023
Category_Fruits,0.013279221853127758
High_Cholesterol_Risk,0.013262413563463249
Category_Meat,0.013210115066117823
Category_Snacks,0.012737554493583934
Category_Vegetables,0.012726762917447712
Category_Grains,0.012205342609259255
smoking_history_current,0.009507856232846211
smoking_history_former,0.009138377469069543
smoking_history_notcurrent,0.008477350048949438
active,0.008437596064978261
Obesity_Risk,0.008230381038708464
Low_Activity_Score,0.008217749373769455
smoking_history_ever,0.006504125053472631
Cancer_Risk_Score,0.004114726776916677
