,Importance
Water_Intakeml,0.12581620822248873
Calorieskcal,0.12563592151395242
Sodiummg,0.12406855467837449
Cholesterolmg,0.11992828566908059
age,0.10879121621011498
bmi,0.09257188545229209
blood_glucose_level,0.07214845873482904
gender_Male,0.02023978424067461
smoking_history_never,0.017400146709199343
Meal_Type_Snack,0.014635119399209721
Meal_Type_Lunch,0.014480661226634755
Meal_Type_Dinner,0.014101218476611763
Category_Dairy,0.012451560513437298
Category_Snacks,0.012245863859244484
High_Cholesterol_Risk,0.012100220691367713
Category_Fruits,0.011585171182653325
Category_Grains,0.011450067849869596
Category_Meat,0.011445292713846391
Category_Vegetables,0.011319226428603574
High_Sugar_Risk,0.010314786206919184
Obesity_Risk,0.01004008340372388
smoking_history_current,0.009465033336406305
smoking_history_former,0.009358852702316327
smoking_history_notcurrent,0.0087625784193553
diabetes,0.00828811717760086
smoking_history_ever,0.0063395921099011435
Cancer_Risk_Score,0.00501609287129221
