,Importance
age,0.16157970098486682
Cancer_Risk_Score,0.14229791749054854
Sodiummg,0.09850336143453663
Water_Intakeml,0.09705674287178868
Calorieskcal,0.09695191067833439
Cholesterolmg,0.09190870739510489
blood_glucose_level,0.0628842984392127
smoking_history_never,0.024835003099685
smoking_history_current,0.02214389280133948
smoking_history_former,0.020670418385346077
diabetes,0.01671127670248554
gender_Male,0.014822345005338095
Meal_Type_Dinner,0.012626976419442396
Meal_Type_Lunch,0.012215121116168418
Meal_Type_Snack,0.012074603062802334
High_Cholesterol_Risk,0.011032683353929585
High_Sugar_Risk,0.010113373105196943
Category_Dairy,0.010065285127015223
Category_Snacks,0.009868563612893356
Category_Fruits,0.009791539375777555
Category_Grains,0.00976635497493407
Category_Meat,0.009356176414187517
Category_Vegetables,0.009321205916345963
Low_Activity_Score,0.009197598181988816
active,0.008974451709271788
smoking_history_ever,0.007874850644353538
smoking_history_notcurrent,0.007355641697105585
